ProcedureCode,TotalProc
36513,1
36514,6
36522,3
36555,36
36556,3439
36557,2
36558,907
36561,142
36563,3
36565,3
36566,10
36568,10
36569,1423
36571,22
36572,8
36573,1002
36575,54
36576,5
36578,21
36580,44
36581,791
36582,21
36583,1
36584,122
36585,9
36589,329
36590,165
36591,157
36592,977
36593,166
36595,7
36596,3
36597,10
36598,41
36600,17074
36620,463
36625,2
36660,2
36680,511
36800,3
36810,2
36815,1
36818,6
36819,7
36821,16
36825,1
36830,12
36831,15
36832,44
36833,13
36836,3
36837,2
36838,2
36860,7
36861,27
36901,189
36902,305
36903,26
36904,132
36905,578
36906,116
36907,187
36908,24
36909,13
37182,1
37184,10
37185,2
37186,3
37187,27
37191,113
37193,7
37195,375
37197,7
37200,1
37211,7
37212,51
37214,2
37216,1
37220,3
37221,8
37223,1
37224,30
37225,4
37226,14
37227,1
37228,31
37229,2
37232,7
37236,5
37237,1
37238,9
37239,6
37241,4
37242,35
37243,43
37244,55
37246,5
37247,1
37248,73
37249,10
37252,17
37253,5
37565,1
37600,1
37607,26
37609,26
37615,5
37616,3
37617,2
37618,17
37700,2
37722,1
37735,1
37761,1
37765,2
37766,2
37785,5
37790,1
37799,103
38100,14
38120,2
38129,1
38206,1
38207,1
38213,1
38215,1
38220,5
38221,41
38222,87
38300,4
38305,2
38500,20
38505,103
38510,7
38525,109
38531,4
38570,10
38571,74
38572,27
38573,2
38589,5
38720,2
38724,3
38745,5
38792,12
38900,64
38999,1
39010,1
39499,1
39501,3
40490,1
40530,1
40650,595
40652,135
40654,105
40799,27
40800,325
40801,14
40804,110
40805,4
40806,1
40808,4
40810,3
40812,2
40820,1
40830,64
40831,35
40840,1
40845,1
40899,6
41000,20
41005,6
41006,1
41007,5
41008,87
41009,4
41010,11
41015,2
41016,1
41017,11
41018,4
41100,5
41105,2
41108,3
41112,3
41120,1
41250,273
41251,21
41252,90
41520,3
41599,23
41800,2628
41805,5
41820,1
41874,4
41899,422
42000,62
42100,2
42145,3
42160,1
42180,5
42182,3
42299,4
42300,8
42305,1
42310,6
42330,5
42335,1
42400,2
42408,1
42415,7
42420,3
42440,1
42500,1
42699,1
42700,2917
42720,14
42725,4
42800,7
42804,1
42809,232
42815,1
42820,41
42821,37
42825,5
42826,107
42830,3
42831,2
42836,1
42955,1
42960,204
42961,30
42962,88
42970,12
42971,4
42972,1
42975,1
42999,388
43030,1
43180,3
43191,15
43193,3
43194,65
43195,1
43197,1
43200,29
43202,7
43205,1
43210,1
43212,4
43214,1
43215,69
43217,1
43220,5
43226,3
43231,9
43232,5
43233,10
43235,3456
43236,45
43237,64
43238,33
43239,5572
43241,20
43242,66
43243,1
43244,117
43245,55
43246,234
43247,2055
43248,68
43249,438
43250,10
43251,38
43253,2
43254,2
43255,505
43259,67
43260,43
43261,47
43262,464
43264,641
43265,12
43266,36
43270,55
43273,60
43274,340
43275,48
43276,55
43277,47
43278,2
43280,7
43281,20
43282,12
43285,1
43290,1
43291,3
43450,31
43460,3
43499,16
43500,1
43520,2
43644,1
43653,5
43659,6
43752,360
43753,193
43761,58
43762,7650
43763,104
43770,1
43771,1
43772,3
43774,4
43775,8
43800,2
43830,51
43840,4
43846,1
43847,2
43865,1
43870,1
43999,22
44005,2
44020,2
44025,4
44050,5
44055,1
44120,16
44130,1
44140,13
44143,1
44150,1
44160,7
44180,60
44187,1
44188,3
44202,7
44204,14
44205,1
44206,2
44207,1
44213,2
44227,1
44238,37
44310,1
44312,3
44320,10
44340,8
44345,2
44360,25
44361,9
44363,1
44364,1
44366,15
44372,5
44373,3
44376,27
44377,2
44378,1
44380,6
44381,1
44382,1
44386,3
44388,11
44389,5
44391,2
44392,1
44394,1
44500,17
44602,4
44603,1
44604,6
44640,1
44799,40
44850,1
44899,1
44900,1
44950,126
44955,5
44960,142
44970,11686
44979,14
45000,2
45005,59
45020,19
45100,5
45171,4
45172,1
45300,19
45305,1
45307,8
45317,2
45330,228
45331,137
45332,32
45333,1
45334,54
45335,3
45337,3
45338,5
45340,1
45341,4
45342,1
45346,2
45347,2
45350,2
45378,1865
45379,12
45380,1498
45381,144
45382,328
45384,12
45385,801
45386,4
45388,25
45389,4
45390,10
45393,9
45398,6
45399,12
45400,1
45505,1
45520,1
45540,2
45541,7
45562,1
45900,43
45905,1
45915,160
45990,66
45999,70
46020,79
46040,1074
46045,91
46050,2662
46060,14
46080,6
46083,624
46200,3
46220,6
46221,11
46230,2
46250,6
46255,29
46258,3
46260,38
46270,22
46275,11
46280,7
46285,1
46288,2
46320,109
46500,4
46505,8
46600,880
46601,3
46604,1
46606,1
46608,31
46614,8
46615,2
46750,1
46760,1
46916,1
46922,10
46930,1
46940,1
46945,5
46946,2
46947,2
46948,3
46999,56
47000,211
47001,1
47350,4
47360,1
47379,26
47382,4
47399,5
47420,4
47480,1
47490,95
47531,50
47532,8
47533,21
47534,16
47535,2
47536,286
47537,17
47538,1
47539,4
47540,4
47542,5
47543,1
47544,1
47550,2
47552,1
47562,7245
47563,1130
47564,49
47579,8
47600,46
47605,3
47620,1
47999,15
48102,3
48150,1
49000,37
49002,1
49013,3
49020,15
49060,6
49062,2
49082,2612
49083,11357
49084,79
49180,112
49203,3
49204,2
49250,1
49255,7
49320,240
49321,44
49322,91
49324,22
49325,26
49326,7
49329,129
49400,9
49402,1
49405,77
49406,215
49407,39
49418,62
49419,3
49421,17
49422,35
49423,62
49424,85
49425,1
49426,2
49435,1
49440,310
49441,16
49442,1
49446,23
49450,930
49451,168
49452,413
49460,18
49465,1306
49491,1
49495,3
49496,1
49505,91
49507,153
49520,12
49521,26
49525,2
49540,1
49550,7
49553,29
49557,1
49591,168
49592,207
49593,50
49594,126
49595,6
49596,22
49613,7
49614,5
49615,6
49616,14
49617,1
49618,2
49621,1
49622,1
49623,3
49650,130
49651,15
49659,12
49900,6
49905,1
49999,72
50020,2
50040,11
50080,6
50081,13
50200,45
50220,6
50234,1
50240,3
50365,1
50382,7
50384,3
50385,1
50386,4
50387,41
50389,24
50390,7
50400,1
50430,13
50431,56
50432,396
50433,34
50434,13
50435,1293
50436,5
50437,3
50500,1
50543,22
50544,8
50545,7
50546,3
50590,50
50592,1
50593,1
50605,9
50684,2
50688,7
50690,5
50693,10
50694,12
50695,4
50706,5
50722,1
50760,1
50782,1
50785,1
50947,4
50949,2
50961,1
51040,58
51045,2
51050,5
51100,7
51102,292
51500,1
51525,1
51535,1
51600,60
51610,52
51700,1105
51701,5016
51702,53461
51703,385
51705,1606
51710,17
51715,1
51720,18
51728,1
51729,5
51736,1
51741,7
51784,5
51797,5
51798,12795
51800,1
51840,1
51860,4
51990,66
51992,3
51999,1
52000,155
52001,101
52005,89
52007,1
52204,30
52214,45
52224,29
52234,29
52235,44
52240,40
52250,1
52260,1
52275,2
52276,23
52281,95
52282,22
52283,2
52285,1
52287,2
52300,2
52305,2
52310,90
52315,8
52317,39
52318,32
52320,21
52325,4
52327,1
52330,3
52332,2048
52334,9
52341,6
52342,1
52344,10
52345,1
52351,102
52352,169
52353,45
52354,9
52356,603
52441,4
52442,8
52450,3
52500,12
52601,302
52630,12
52640,2
52647,2
52648,29
52649,8
53020,1
53060,4
53080,1
53200,1
53400,2
53430,1
53445,2
53447,1
53505,2
53600,16
53605,3
53620,8
53660,1
53665,1
53854,3
53855,1
53899,20
54001,16
54015,12
54050,2
54065,1
54100,1
54115,4
54125,1
54150,6
54161,24
54162,1
54163,3
54164,1
54220,591
54230,1
54235,120
54360,9
54401,1
54405,3
54406,4
54416,1
54420,11
54430,15
54435,9
54437,20
54440,10
54450,341
54505,2
54512,12
54520,96
54522,11
54530,13
54600,140
54620,14
54640,317
54650,2
54670,9
54690,1
54692,1
54700,200
54830,7
54840,2
55000,5
55040,10
55041,2
55100,374
55110,20
55120,3
55150,2
55175,1
55180,1
55250,2
55500,1
55520,4
55700,7
55845,1
55865,1
55866,133
55867,30
55899,28
55970,1
55980,1
56405,2109
56420,3165
56440,20
56441,1
56442,5
56501,1
56605,14
56620,4
56625,1
56700,6
56740,20
56800,1
56805,1
56810,5
57000,7
57010,19
57020,3
57022,2
57023,9
57061,1
57065,1
57100,10
57105,2
57120,5
57135,8
57160,29
57180,11
57200,71
57210,5
57220,1
57240,17
57250,18
57260,28
57265,1
57267,2
57268,3
57282,4
57283,6
57285,2
57287,1
57288,37
57291,1
57292,1
57295,2
57410,40
57415,56
57420,2
57423,2
57425,21
57454,2
57455,1
57460,2
57500,42
57505,2
57510,7
57511,1
57520,3
57522,5
57700,1
57720,7
57800,1
58100,240
58110,1
58120,202
58140,8
58145,27
58146,2
58150,12
58152,4
58180,2
58260,12
58262,14
58270,1
58275,2
58290,1
58291,2
58300,118
58301,497
58340,1
58350,7
58542,9
58545,14
58548,1
58550,3
58552,37
58553,2
58554,4
58555,3
58558,111
58559,1
58561,25
58562,9
58563,15
58570,13
58571,230
58572,2
58573,31
58575,1
58578,1
58605,1
58660,15
58661,525
58662,743
58670,1
58671,1
58673,1
58674,1
58679,44
58700,4
58720,11
58750,1
58800,1
58805,1
58920,2
58925,25
58940,2
58943,3
58999,66
59000,1
59020,21
59025,21992
59050,23
59070,1
59120,29
59121,7
59140,3
59150,63
59151,1342
59160,189
59200,23
59300,16
59320,26
59400,1
59409,63
59410,3
59412,36
59414,15
59510,9
59514,21
59515,123
59614,1
59812,1242
59820,324
59821,31
59830,5
59840,27
59841,67
59855,1
59870,14
59899,45
60100,3
60210,2
60212,2
60220,11
60240,31
60252,10
60254,2
60260,1
60271,2
60300,3
60500,13
60522,1
60699,5
61020,2
61070,18
61107,31
61108,3
61120,1
61154,5
61210,11
61312,10
61313,1
61314,2
61315,1
61322,1
61323,1
61345,1
61510,2
61536,1
61537,1
61540,1
61624,1
61626,7
61635,1
61645,2
61650,1
61651,1
61750,1
61781,1
61782,2
61885,1
61888,1
62160,5
62180,1
62223,4
62230,2
62252,29
62258,2
62267,9
62268,6
62269,1
62270,4983
62272,275
62273,587
62282,1
62284,20
62287,1
62290,1
62302,3
62303,2
62304,13
62305,7
62320,8
62321,16
62322,12
62323,69
62328,402
62329,21
62350,6
62361,1
62362,5
62365,1
62368,3
62370,2
62380,2
63001,2
63005,2
63020,1
63030,88
63035,12
63042,8
63045,4
63046,3
63047,72
63048,45
63051,1
63052,1
63056,10
63075,3
63076,2
63200,1
63265,1
63267,9
63281,1
63661,4
63685,1
63688,4
64400,3521
64405,372
64415,117
64416,14
64417,18
64418,21
64420,19
64421,7
64425,3
64430,17
64435,7
64445,96
64446,12
64447,241
64448,15
64449,4
64450,4107
64454,9
64455,15
64461,9
64463,1
64483,26
64484,8
64486,33
64487,2
64488,38
64490,4
64493,7
64494,1
64505,39
64510,2
64520,27
64530,1
64566,2
64568,1
64582,1
64600,2
64612,1
64615,3
64616,1
64617,1
64633,1
64634,1
64635,3
64636,2
64642,2
64643,1
64680,2
64702,4
64704,2
64708,4
64712,1
64716,2
64718,11
64719,2
64721,50
64772,4
64782,1
64820,2
64831,51
64832,9
64834,6
64835,3
64836,3
64840,1
64856,2
64857,4
64864,1
64890,1
64910,3
64912,2
64999,201
65093,1
65101,1
65175,1
65205,1725
65210,59
65220,2357
65222,1984
65235,97
65265,2
65270,10
65275,21
65280,9
65285,35
65286,3
65290,3
65430,2
65435,5
65730,1
65779,1
65800,33
65810,5
65815,5
65850,2
65870,1
65920,2
66020,1
66030,10
66172,1
66174,1
66180,15
66183,8
66250,5
66500,2
66680,3
66710,15
66711,1
66740,2
66761,17
66825,1
66850,1
66852,2
66920,2
66940,2
66982,3
66983,1
66984,15
66991,1
66999,75
67010,1
67015,10
67025,9
67028,145
67036,14
67039,5
67040,6
67041,2
67042,2
67101,1
67105,17
67107,4
67108,63
67110,29
67113,17
67141,1
67145,3
67210,4
67220,1
67228,9
67229,1
67255,1
67299,1
67400,35
67405,12
67412,1
67413,2
67415,2
67515,4
67599,2
67700,149
67715,43
67800,5
67808,1
67825,1
67840,1
67875,5
67880,1
67900,18
67904,1
67911,1
67930,18
67935,22
67938,171
67950,68
67961,1
68020,1
68110,1
68200,15
68325,1
68360,1
68399,6
68420,2
68530,1
68700,11
68761,1
68801,1
68810,1
68815,11
68841,1
69000,858
69005,39
69020,54
69090,16
69145,3
69200,8444
69205,90
69209,9180
69210,3385
69220,3
69222,1
69399,12
69420,3
69433,1
69436,18
69502,2
69631,2
69645,1
69660,1
69670,1
69799,5
69801,2
69930,1
69990,6
70030,104
70100,456
70110,1355
70120,2
70130,1
70134,1
70140,748
70150,1460
70160,4372
70190,32
70200,178
70210,104
70220,196
70250,2452
70260,179
70300,2
70310,10
70320,2
70328,30
70330,138
